18:42:27 [main] INFO  baseNoStates.Clock - Clock started with period of 1 seconds
18:42:33 [Thread-2] INFO  baseNoStates.Visitors.FindAreaById - Found target area (Space): parking
18:42:33 [Thread-2] INFO  b.Visitors.GetDoorsGivingAccess - Total doors collected: 2
18:42:35 [Thread-3] INFO  baseNoStates.Visitors.FindAreaById - Found target area (Space): room1
18:42:35 [Thread-3] INFO  b.Visitors.GetDoorsGivingAccess - Total doors collected: 1
18:42:39 [Thread-4] INFO  baseNoStates.Visitors.FindAreaById - Found target area (Space): hall
18:42:39 [Thread-4] INFO  b.Visitors.GetDoorsGivingAccess - Total doors collected: 2
18:42:41 [Thread-5] INFO  baseNoStates.Visitors.FindAreaById - Found target area (Space): hall
18:42:41 [Thread-5] INFO  b.Visitors.GetDoorsGivingAccess - Total doors collected: 2
18:42:47 [Thread-6] INFO  baseNoStates.Visitors.FindAreaById - Found target area (Space): room3
18:42:47 [Thread-6] INFO  b.Visitors.GetDoorsGivingAccess - Total doors collected: 1
18:42:52 [Thread-7] INFO  baseNoStates.Visitors.FindAreaById - Found target area (Space): IT
18:42:52 [Thread-7] INFO  b.Visitors.GetDoorsGivingAccess - Total doors collected: 1
